name,id,link,stueckelung,coupon,anzahlZinstermine,land,faelligkeit,kurs,boerse,letzterZinstermin,kaufpreis,couponRendite
Oriflame Investment Holding PLC,XS2337349265,https://www.finanzen.net/anleihen/a3kqet-oriflame-investment-holding-anleihe,1000,8.151,4,Jersey,05-05-2026,23.76,Stuttgart,16-02-2024,246.309288,0.330925
United Group B.V.,XS2758099779,https://www.finanzen.net/anleihen/a3lt4f-united-group-bv-anleihe,1000,8.134,4,Niederlande,17-02-2031,99.92,Frankfurt,15-02-2024,1008.113973,0.080685
United Group B.V.,XS2759982650,https://www.finanzen.net/anleihen/a3lt4y-united-group-bv-anleihe,1000,8.134,4,Niederlande,01-02-2029,99.62,Quotrix,15-02-2024,1005.113973,0.080926
Orange S.A.,FR0000471930,https://www.finanzen.net/anleihen/727319-orange-anleihe,1000,8.125,1,Frankreich,28-01-2033,130.55,Lang & Schwarz,28-12-2023,1325.311644,0.061306
Blue Energy Group AG,DE000A2GS336,https://www.finanzen.net/anleihen/a2gs33-blue-energy-group-anleihe,1000,8.111,2,Deutschland,31-12-2025,43,Frankfurt,30-11-2023,455.999644,0.177873
Opus-Chartered Issuances S.A.,DE000A3KMRH5,https://www.finanzen.net/anleihen/a3kmrh-opus-chartered-issuances-anleihe,1000,8.1,1,Luxemburg,28-06-2024,110.59,Düsseldorf,18-02-2024,1114.110959,0.072704
Propifi Bonds PLC,GB00BMFXJ334,https://www.finanzen.net/anleihen/a3lcl1-propifi-bonds-anleihe,100,8.1,4,GB,10-01-2028,97.5,Frankfurt,01-12-2023,100.074247,0.080940
"Madeira, Regiao Autónoma",PTRAMMOE0009,https://www.finanzen.net/anleihen/a1vjet-madeira-regiao-autonoma-anleihe,1000,8.029,2,Portugal,03-06-2028,100,Lissabon,03-11-2023,1031.676055,0.077825
Allwyn Entertainment Financing [UK] PLC,XS2440790835,https://www.finanzen.net/anleihen/a3k12r-allwyn-entertainment-financing-uk-anleihe,1000,8.026,4,GB,15-02-2028,97.76,Tradegate,16-02-2024,986.175726,0.081385
HYPO TIROL BANK AG,AT0000A1GTJ6,https://www.finanzen.net/anleihen/a1z7yh-hypo-tirol-bank-anleihe,1000,8,4,Österreich,22-10-2025,95,Wien,22-01-2024,964.027397,0.082985
Agri Resources Group S.A.,DE000A287088,https://www.finanzen.net/anleihen/a28708-agri-resources-group-anleihe,1000,8,1,Luxemburg,17-03-2026,0.01,Baader Bank,17-02-2024,8.428767,9.491305
BDT Media Automation GmbH,DE000A2E4A94,https://www.finanzen.net/anleihen/a2e4a9-bdt-media-automation-anleihe,1000,8,1,Deutschland,14-07-2024,94,Frankfurt,14-06-2023,1002.684932,0.079786
SoWiTec group GmbH,DE000A2NBZ21,https://www.finanzen.net/anleihen/a2nbz2-sowitec-group-anleihe,1000,8,1,Deutschland,08-11-2026,81,Frankfurt,08-10-2023,847.260274,0.094422
Katjesgreenfood GmbH & Co. KG,DE000A30V3F1,https://www.finanzen.net/anleihen/a30v3f-katjesgreenfood-anleihe,1000,8,1,Deutschland,29-11-2027,106.5,Stuttgart,29-10-2023,1097.657534,0.072882
SoWiTec group GmbH,DE000A30V6L2,https://www.finanzen.net/anleihen/a30v6l-sowitec-group-anleihe,1000,8,1,Deutschland,30-03-2028,86,Stuttgart,02-03-2023,945.479452,0.084613
Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG,DE000A351NS2,https://www.finanzen.net/anleihen/a351ns-deutsche-effecten-und-wechsel-beteiligungsgesellschaft-anleihe,1000,8,1,Deutschland,15-06-2028,98,Berlin,15-05-2023,1049.260274,0.076244
The Grounds Real Estate Development AG,DE000A3H3FH2,https://www.finanzen.net/anleihen/a3h3fh-the-grounds-real-estate-development-anleihe,1000,8,2,Deutschland,18-02-2027,56,Düsseldorf,18-02-2024,568.109589,0.140818
Encore Issuances S.A.,DE000A3KNDU6,https://www.finanzen.net/anleihen/a3kndu-encore-issuances-anleihe,1000,8,4,Luxemburg,07-04-2031,101.75,Düsseldorf,07-01-2024,1034.815068,0.077308
AustriaEnergy International GmbH,DE000A3LE0J4,https://www.finanzen.net/anleihen/a3le0j-austriaenergy-international-anleihe,1000,8,1,Österreich,30-06-2028,98,Frankfurt,30-05-2023,1045.972603,0.076484
Sustainable Capital PLC,GB00BMG7PR03,https://www.finanzen.net/anleihen/a3kptz-sustainable-capital-anleihe,1,8,4,GB,21-04-2024,89,Düsseldorf,21-01-2024,0.904247,0.088471
Sustainable Capital PLC,GB00BMZ1JD78,https://www.finanzen.net/anleihen/a3ks5a-sustainable-capital-anleihe,1,8,1,GB,09-06-2024,70,Frankfurt,09-05-2023,0.770575,0.103819
DEAG Deutsche Entertainment AG,NO0012487596,https://www.finanzen.net/anleihen/a351vb-deag-deutsche-entertainment-anleihe,1000,8,2,Deutschland,12-07-2026,102.41,Frankfurt,30-11-2023,1049.743836,0.076209
Banca Monte dei Paschi di Siena S.p.A.,XS2106849727,https://www.finanzen.net/anleihen/a28shq-banca-monte-dei-paschi-di-siena-spa-anleihe,1000,8,1,Italien,22-01-2030,100.25,Quotrix,22-12-2023,1023.321918,0.078177
Altice France Holding S.A.,XS2138128314,https://www.finanzen.net/anleihen/a28vht-altice-france-holding-anleihe,1000,8,2,Luxemburg,15-05-2027,32.63,Düsseldorf,15-10-2023,362.026027,0.220979
IM Group S.A.S.,XS2587104444,https://www.finanzen.net/anleihen/a3ld6g-im-groups-anleihe,1000,8,2,Frankreich,01-03-2028,71.22,Stuttgart,15-03-2024,714.610959,0.111949
National Bank of Greece S.A.,XS2595343059,https://www.finanzen.net/anleihen/a3ln8l-national-bank-of-greece-anleihe,1000,8,1,Griechenland,03-01-2034,107.87,Quotrix,03-12-2023,1103.686301,0.072484
Suncap SCOOP S.A.,XS2599155384,https://www.finanzen.net/anleihen/a3le0u-suncap-scoop-anleihe,1000,8,1,Luxemburg,30-04-2026,97,Deutschland,30-03-2023,1049.342466,0.076238
IPD 3 B.V.,XS2631198863,https://www.finanzen.net/anleihen/a3ljyv-ipd-3-bv-anleihe,1000,8,2,Niederlande,15-06-2028,105.91,München,15-11-2023,1088.031507,0.073527
